"","eucalypts","bark"
"435","Eucalyptus punctata","smooth throughout, becoming granular with age, predominantly grey with pink, brown, cream, yellow and orange, shedding in patches."
"436","Eucalyptus purpurata","smooth throughout, mottled silvery grey to light grey over cream bark, shedding in strips."
"437","Eucalyptus pyriformis","smooth throughout or with a short stocking of persistent ribbony grey-brown bark, smooth bark grey-brown shedding to light brown or reddish grey. "
"438","Eucalyptus pyrocarpa","rough to larger limbs, fibrous, grey or brown; smooth bark grey to white, crown sometimes ribbony; branchlets glaucous and square in cross-section."
"439","Eucalyptus quadrangulata","rough to small branches, box-type, grey or whitish."
"440","Eucalyptus quadrans","of mallees smooth throughout, grey to pale grey over green-pink; trees have a stocking of scaly or flaky rough grey bark for up to 3 m of trunk. "
"441","Eucalyptus quaerenda","smooth throughout, mottled pale grey, pale brown, pinkish-grey and whitish, ribbons sometimes present on lower trunks. "
"442","Eucalyptus racemosa","smooth, rarely powdery, silvery white, cream, pale grey, orange-yellow, with scribbles."
"443","Eucalyptus radiata","rough on trunk and large limbs, smaller branches smooth; rough bark finely fibrous, peppermint-type, grey; smooth bark pale grey to grey-green."
"444","Eucalyptus raveretiana","rough on most or all of trunk and often on bases of large branches sometimes extending to branches 5 cm diameter, box-type, dark grey, thick, becoming fissured and tessellated. Smooth-barked above this, patchy pale grey to pink-grey to grey to green and creamy white shedding in long flakes."
"445","Eucalyptus ravida","smooth throughout, shiny, greyish green over coppery to red-brown."
"446","Eucalyptus recta","smooth throughout, mottled silvery grey and pale salmon-pink. "
"447","Eucalyptus recurva","smooth, grey, green, brown, white, cream and orange, at times with ribbons of decorticated bark in the branches."
"448","Eucalyptus redunca","smooth, grey and pale brown shedding in short ribbons."
"449","Eucalyptus regnans","rough for basalpart of trunk, fibrous or with crumbly surface, grey, brown or black, upper trunk smooth-barked; smooth bark cream, grey-green, pale grey, brown or yellow-white, seasonally with ribbons of decorticated bark in the upper branches."
"450","Eucalyptus relicta","rough to small branchlets, thick, deeply fissured, dark grey. "
"451","Eucalyptus remota","rough on whole trunk of trees or base of larger stems in mallees, fibrous, grey to grey-brown, sometimes smooth throughout; smooth bark yellow to grey."
"452","Eucalyptus resinifera","rough to small branches, stringy or fibrous, grey or grey-brown to red-brown, held in long, flat strips with shallow fissures in between."
"453","Eucalyptus retinens","rough on trunk and larger limbs, box-type, grey, smooth bark grey to green, pink or coppery."
"454","Eucalyptus rhomboidea","smooth throughout, grey to creamy-grey to orange-brown, shedding in strips and short ribbons. "
"455","Eucalyptus rigens","wholly smooth, grey over whitish grey to pinkish brown, shedding in strips."
"456","Eucalyptus rigidula","smooth throughout, white, pale grey and pale brown to salmon-brown, rarely powdery, or with persistent ribbony rough fibrous grey-brown bark on lower trunk."
"457","Eucalyptus risdonii","smooth throughout, mottled light grey, yellow, white or cream; branchlets glaucous; bark on small limbs show encircling scars left by fallen connate leaves."
"458","Eucalyptus robusta","rough to small branches, thick, fibrous, spongy, reddish-brown to grey-brown."
"459","Eucalyptus rodwayi","rough on trunk and larger branches, fibrous to box-type, the outer layer crumbly, inner layer hard, grey and grey-brown."
"460","Eucalyptus rosacea","smooth throughout, dark and light grey over pinkish grey or yellow-grey and white."
"461","Eucalyptus rowleyi","smooth throughoutwhitish, pale grey to pale orange and tan. "
"462","Eucalyptus roycei","rough on the lower trunk, grey to grey-brown, fibrous, flaky; smooth bark above grey to grey-green to creamy green to brownish cream. "
"463","Eucalyptus rubida","smooth throughout or with some patches of persistent rough, greyish bark at the base; smooth bark often powdery, white, cream, pale grey or pink, with horizontal black scars, usually with ribbons of decorticated bark in the upper branches; branchlets glaucous or non-glaucous."
"464","Eucalyptus rubiginosa","rough to 2 cm diameter branches, softly fibrous, thick, reddish-brown."
"465","Eucalyptus rudderi","rough to small branches, box-type, often tessellated, grey to pale grey."
"466","Eucalyptus rudis","rough, fibrous, grey over part or all of trunks, becoming tessellated on older trunks, extending sometimes to branches to ca 10 cm diameter, rarely trunks entirely smooth, greyish white and dark grey. "
"467","Eucalyptus rugosa","smooth throughout, cream to pale grey, pinkish grey or yellow-green, sometimes with ribbons of decorticated bark in the upper branches."
"468","Eucalyptus rugulata","smooth throughout, grey and silvery grey, shedding in strips."
"469","Eucalyptus rummeryi","rough to small branches, box-type, usually tessellated, grey to black."
"470","Eucalyptus rupestris","smooth throughout, satiny except where recently shed then powdery, new bark pale orange, ageing to white and weathering to grey in patches."
"471","Eucalyptus salicola","smooth throughout, powdery, white to pale grey over salmon pink."
"472","Eucalyptus saligna","rough and flaky, grey to grey-brown on basal 1-4 m of trunk, smooth above, bluish grey to cream, green, pink or brown."
"473","Eucalyptus salmonophloia","smooth throughout, pale grey over salmon-pink to cream, shedding in flakes."
"474","Eucalyptus salubris","smooth throughout, shiny, steely grey or olive green to tan, coppery or yellow."
"475","Eucalyptus sargentii","rough over part or all of trunk, grey to black and coarsely flaky and crumbly, rarely smooth throughout; smooth bark greenish-grey over pinky brown."
"476","Eucalyptus saxatilis","smooth, slightly powdery, pale grey to creamy white and pale coppery, pink or greenish, shedding in ribbons."
"477","Eucalyptus scias","rough throughout, fibrous, grey or brown, held in long strips or slabs with shallow furrows."
"478","Eucalyptus scoparia","smooth, powdery, white and grey, shedding in strips."
"479","Eucalyptus seeana","smooth, sometimes becoming granular with age, mottled grey, white, pink or orange."
"480","Eucalyptus selachiana","usually smooth, white to grey to grey-green to occasionally yellow, sometimes with a very short stocking of grey-brown tessellated, fibrous rough bark. "
"481","Eucalyptus semiglobosa","smooth throughout, pale grey to dark grey. "
"482","Eucalyptus semota","rough for part or whole trunk and extending to limbs ca 6-10 cm diameter, grey to black, box-type, flaking in short strips, grey to brown, pink or coppery."
"483","Eucalyptus sepulcralis","smooth, grey over pinkish grey."
"484","Eucalyptus serraensis","rough at least on trunk and often on limbs, firmly fibrous or quite hard, shallowly, longitudinally fissured, grey to grey-brown; smooth bark of branches brown or pale grey."
"485","Eucalyptus sheathiana","smooth throughout, white-grey over coppery, shedding in conspicuous long ribbons.Older branchlets"
"486","Eucalyptus sieberi","rough on trunk and base of large branches, at first thin, flaky and orange-brown, becoming compact, thick, longitudinally furrowed and dark grey to black as trees age; smooth bark sometimes powdery, white to cream or yellow; branchlets sometimes glaucous."
"487","Eucalyptus singularis","smooth throughout or with persistent rough grey to brown ribbons on base of trunk extending for ca 1 m; smooth bark grey-brown or pale grey, sometimes with a few ribbons on the upper branches."
"488","Eucalyptus smithii","of trees rough, compact and black on trunk, smooth above, sometimes powdery, white, cream, or green-brown, very ribbony; mallees usually smooth throughout."
"489","Eucalyptus socialis","usually persistent on lower trunks, grey to brown, loose flaky, shaggy, ribbony; smooth bark on upper trunks and branches grey over cream, rarely yellowy-green."
"490","Eucalyptus","rough to ca 5 cm diameter branches, hard and corky, not fibrous, forming multi-layered plates and strips, grey and brown. "
"491","Eucalyptus spathulata","smooth, satin-like throughout, silvery grey over coppery, pink and bronze."
"492","Eucalyptus sphaerocarpa","rough over trunk and branches, moderately long-fibrous and becoming somewhat compact and shallowly fissured, grey or grey-brown to yellow-brown."
"493","Eucalyptus splendens","rough to 4 cm diameter branches, firm to corky fibrous, hardly furrowed, grey or black."
"494","Eucalyptus sporadica","smooth throughout, silvery white to pinkish brown, grey-brown and pale coppery, shedding in ribbons."
"495","Eucalyptus spreta","smooth throughout, grey, orange-grey and whitish, shedding in long ribbons."
"496","Eucalyptus squamosa","rough throughout, tessellated, grey and red-brown."
"497","Eucalyptus staeri","rough over whole of trunk and branches to ca 4 cm diameter, fibrous, held in long flattened strips, grey-brown over reddish brown. "
"498","Eucalyptus stellulata","rough on lower trunk, compact and dark grey to black; smooth bark greenish, at times with ribbons of decorticated bark in the upper branches."
"499","Eucalyptus stenostoma","rough on lower trunk, compacted, shallowly fissured, grey; smooth bark yellow or creamy white; branchlets glaucous."
"500","Eucalyptus stoatei","wholly smooth grey over brown to cream, shedding in strips. "
"501","Eucalyptus stowardii","smooth throughout, grey over bronze to silvery pink."
"502","Eucalyptus striaticalyx","rough, thick, dark greyish and fibrous over part or all of trunk and sometimes extending to branches ca 5 cm diameter, smooth above creamy brown to pinkish."
"503","Eucalyptus stricklandii","rough for basal part of trunk, crumbly to flaky, grey-black and red-brown."
"504","Eucalyptus stricta","smooth, mottled pale grey, brown, white and pink, often with scribbles, at times with ribbons of decorticated bark in the upper branches."
"505","Eucalyptus strzeleckii","smooth throughout or with some slabs of fibrous grey to brown bark persistent at base of trunk; smooth bark mottled cream, yellow, pale brown, pinkish and green, often with ribbons of decorticated bark in the upper branches, branchlets non-glaucous."
"506","Eucalyptus sturgissiana","smooth, mottled light grey, grey-brown, pink and green, branchlets often glaucous."
"507","Eucalyptus subangusta","smooth throughout, pale and dark grey and grey brown to pinkish and coppery."
"508","Eucalyptus subcrenulata","smooth, pale grey or brown to yellow-green, horizontal black scars often present."
"509","Eucalyptus suggrandis","smooth throughout, pale shiny grey over grey-brown to brown."
"510","Eucalyptus surgens","rough over basal 0.5 m (or less) of trunks, greyish and fibrous, smooth pale grey to creamy brown above, shedding in strips."
"511","Eucalyptus sweedmaniana","smooth throughout, pale grey to silvery grey."
"512","Eucalyptus talyuberlup","smooth throughout, pale grey to pale pinkish, yellow-green or pale brown, shedding in ribbons."
"513","Eucalyptus tenella","rough to small branches, stringy, furrowed, grey to grey-brown."
"514","Eucalyptus tenera","smooth throughout, pale brown-grey, tan and satiny pale grey."
"515","Eucalyptus tenuipes","rough to small branches, fibrous, brown-grey, thick even on sapling growth, becoming fissured on larger stems."
"516","Eucalyptus tenuiramis","smooth throughout or with a few partly decorticated basal slabs of rough bark; smooth bark white to light grey or yellowish; branchlets glaucous."
"517","Eucalyptus tenuis","smooth throughout, rarely powdery, pale grey to whitish over orange to pale brown, shedding in long ribbons."
"518","Eucalyptus tephroclada","smooth throughout, rich coppery red and silvery brown to pale grey."
"519","Eucalyptus terebra","satiny or glossy, dark grey to orange, green-brown or yellowy green."
"520","Eucalyptus tereticornis","smooth throughout, mottled white, cream, yellow, pink and grey; sometimes with persistent dark grey flakes of rough bark on base of large trunks."
"521","Eucalyptus terrica","rough, thin, fibrous, grey over brown to orange, normally only on the trunk and larger branches, sometimes on the lower trunk only. Smooth bark on upper trunk or branches grey to brown to white over greenish-grey to yellowish-grey to yellowish-brown to orange-yellow."
"522","Eucalyptus tetraptera","smooth throughout, rarely with semi-persistent broad ribbons for ca 0.3 m of trunk, mottled dark and pale grey to silvery grey."
"523","Eucalyptus tetrodonta","rough to the small branches, grey over reddish brown, finely stringy or fibrous, forming longitudinal furrows. "
"524","Eucalyptus thamnoides","smooth throughout andpale grey over pink-copper and white, rarely partly rough with imperfectly shed basal ribbons of brown or grey bark."
"525","Eucalyptus thozetiana","smooth throughout or less commonly with a short stocking of tessellated blackish rough bark. Smooth bark pinkish to creamy white with greyish patches. Small curls or flakes of imperfectly shed bark may be present at times on the otherwise smooth stems."
"526","Eucalyptus tindaliae","rough on trunk and branches to about 6 cm diameter, stringy with shallow longitudinal fissures, grey and grey-brown."
"527","Eucalyptus tintinnans","smooth throughout, new bark pale orange to pale creamy-pink, maturing through brilliant salmon-pink to dull grey-white and weathering to grey just before decortication."
"528","Eucalyptus todtiana","rough, to smallest branches, fibrous, soft yellow-brown, prickly, or the lower trunk only rough and scaly with upper trunk and branches smooth grey to yellow and pinkish brown. "
"529","Eucalyptus torquata","rough, hard, dark grey to blackish, shortly fissured to almost tessellated, over most or all of trunk, branches smooth, various shades of dark grey to black."
"530","Eucalyptus transcontinentalis","smooth throughout, white to grey with pale pink or pale orange patches."
"531","Eucalyptus triflora","smooth throughout or, for the largest trees, with some compact, dark grey, rough bark at the base of the trunk; smooth bark white to cream or yellow-grey, with scribbles, the stems and crowns ribbony."
"532","Eucalyptus trivalva","partly or wholly rough on trunks with grey to reddish brown curly strips of partly decorticated bark (rarely smooth throughout); smooth bark pale grey to grey-brown, shiny pink-brown to greenish when newly exposed."
"533","Eucalyptus ultima","smooth over most of the stems or occasionally some stems with fibrous rough bark for basal part to 0.5 m. Smooth bark grey to pink-grey to white over cream to coppery."
"534","Eucalyptus umbra","rough to small branches, stringy or fibrous, grey or grey-brown."
"535","Eucalyptus umbrawarrensis","smooth and powdery throughout, new bark pale yellow to pale pink to pale orange, ageing to white."
"536","Eucalyptus urna","smooth throughout, grey to white to orange-brown or coppery, often highly glossy with a silvery appearance."
"537","Eucalyptus urnigera","smooth throughout or rarely with some rough strips retained at base of larger trunks; smooth bark mottled light grey, white, yellow, brown, pink and green; branchlets glaucous."
"538","Eucalyptus valens","smooth throughout, white or cream to pale grey and pinkish."
"539","Eucalyptus varia","smooth throughout, grey over greenish brown and pink to pale coppery."
"540","Eucalyptus vegrandis","smooth throughout, shedding in short ribbons, green-bronze to yellowish green over pinkish grey to brown."
"541","Eucalyptus vernicosa","smooth grey or grey-brown."
"542","Eucalyptus verrucata","smooth throughout or, on larger plants, rough, hard, fibrous, finely fissured and greyish brown on base of trunk; smooth bark bronze-brown to greyish white."
"543","Eucalyptus vesiculosa","smooth throughout, shiny, grey over rich red-brown."
"544","Eucalyptus vicina","usually smooth throughout, often powdery, mottled grey, brown, coppery, pink, orange and white."
"545","Eucalyptus victoriana","rough for only part of the trunk, rarely for most of the trunk, with the upper trunk and branches smooth. Rough bark long-fibrous and stringy where best developed lower on trunk, diminishing to fibrous/flaky then smooth pale grey and creamy white.."
"546","Eucalyptus viminalis","smooth over whole trunk or with a thick stocking of rough bark consistently to 2-6 m above base, fibrous, grey, brown or black; smooth bark often powdery, white to cream, yellow, light grey or pale brown, usually with conspicuous long ribbons of decorticated bark on upper trunk and in crown."
"547","Eucalyptus virginea","smooth throughout pale grey over powdery white to pinkish; sometimes with scribbles. "
"548","Eucalyptus viridis","rough, dark grey and box-type on lower stems, smooth above, grey-brown and coppery to bronze-grey and pink-grey, or smooth throughout. "
"549","Eucalyptus vittata","smooth throughout, grey and creamy whiteover yellow, tan or pale salmon, shedding in conspicuous long ribbons."
"550","Eucalyptus vokesensis","rough, fibrous, grey-brown, on lower trunks and large branches; smooth bark light grey or pale coppery brown or cream, often decorticating in ribbons or strips."
"551","Eucalyptus volcanica","on trunk partly rough to fully rough, often extending to larger branches, grey, box type; smooth bark grey to green, occasionally pink to brown."
"552","Eucalyptus wandoo","smooth throughout, often with scattered tardily deciduous flakes, white to mottled white and pale grey-brown over cream or pale yellow; bark of saplings fibrous on stems, becoming smooth as size increases. "
"553","Eucalyptus websteriana","minnirichi on trunk and branches, red to red-brown. "
"554","Eucalyptus wilcoxii","smooth throughout, pinkish brown to green, shedding in ribbons."
"555","Eucalyptus williamsiana","rough throughout, coarsely stringy, grey to grey-brown and deeply furrowed."
"556","Eucalyptus willisii","rough and extending often tosmallest branches, fibrous, peppermint-type, dark grey, or branches ca 5 cm diameter smooth, cream, pale grey or yellow-grey."
"557","Eucalyptus woodwardii","smooth, white over salmon to pink, shedding in long ribbons."
"558","Eucalyptus woollsiana","rough to 10-15 cm diameter branches, box-type or finely tessellated, grey or mottled grey and white; smooth bark pale grey to coppery."
"559","Eucalyptus wubinensis","smooth throughout, light grey to white-grey over tan or pinkish,and cream, shedding seasonally in long ribbons."
"560","Eucalyptus wyolensis","usually rough over most of the lower stem, sometimes extending to the larger branches, fibrous, light grey to brown; upper stem mostly smooth-barked, smooth bark grey to brown to cream."
"561","Eucalyptus xanthonema","smooth throughout, grey-brown and light grey over pinkish, grey ribbons may shed tardily at the base of stems."
"562","Eucalyptus yalatensis","rough, grey to grey-brown to white, box-type or flaky, on part or all of stems, often extending to branches ca 5 cm diameter; smooth above, pale grey to pink-salmon or pale brown."
"563","Eucalyptus yarraensis","rough over whole trunk and to 10 cm diameter branches, box-type, at times tessellated in part, grey; smooth bark of branches white to cream and green-brown."
"564","Eucalyptus yilgarnensis","rough over part or all of trunk, grey-brown to dark-grey, flaky, or smooth throughout and brown-grey to coppery, olive green or pinkish grey, branches smooth."
"565","Eucalyptus youmanii","rough to small branches, coarsely stringy and deeply, longitudinally furrowed, grey to grey-brown."
"566","Eucalyptus youngiana","rough over part or all of trunk, grey, fibrous or shedding imperfectly in broad strips, smooth above, or on smaller stems smooth throughout, whitish grey over yellowish or salmon pink. "
"567","Eucalyptus zopherophloia","rough over part or all of trunks, fibrous, firm, grey to grey-black, smooth grey over light creamy grey above."
